STATE.x,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,STATE.y,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130282,0,1,5,43,1,0,1,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,13,1,1,0,1,1,1,1,309,2380,16,3,2017,5,16,50,1,1,3,1,3,SR-30,NA,152,32.180825,-82.66695278,0,8,0,0,1,1,0,1,1,1,0,1,0,0,16,53,16,58,17,30,0,0,0,1,0
13,130290,0,1,5,25,1,1,0,0,741,0,1,7,2,7,1,7,4,3,1,1a,740,0,13,1,1,0,1,1,1,1,135,3990,18,3,2017,7,23,54,1,2,3,4,6,JIMMY CARTER BOULEVARD,BUFORD HIGHWAY,35,33.93219167,-84.22230833,0,8,0,0,2,2,0,1,3,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130294,0,1,5,63,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,89,280,20,3,2017,2,19,24,0,2,4,4,6,MEMORIAL DRIVE,CAMPBELL STREET,13,33.747375,-84.32529444,0,8,0,0,3,3,0,1,5,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
13,130296,0,1,5,65,1,0,0,0,690,0,1,7,1,7,9,7,3,9,8,99,990,0,13,1,1,0,1,1,1,1,151,0,20,3,2017,2,19,10,0,2,7,2,4,CR-WATER VIEW,CONTOUR DRIVE,5,33.52676111,-84.18376111,0,8,0,0,2,3,0,1,1,1,0,1,0,0,19,40,21,0,88,88,0,0,0,1,0
13,130297,0,1,5,1,2,0,0,0,212,0,3,7,5,7,8,7,8,8,8,8,200,0,13,1,1,0,1,1,1,1,135,3100,21,3,2017,3,16,11,0,2,7,4,6,MEMORY LANE,NA,3,33.93963056,-84.09236389,0,8,0,0,4,1,0,1,1,1,0,1,0,0,16,9,16,16,88,88,0,0,0,1,0
13,130313,0,1,5,34,2,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,13,1,1,0,1,1,2,2,63,0,25,3,2017,7,20,21,1,2,3,2,3,SR-54,NA,5,33.48994167,-84.389325,0,8,0,0,1,1,0,1,2,1,0,1,0,0,20,23,20,29,20,47,0,0,0,1,0
13,130314,0,1,5,41,2,0,0,0,410,0,3,7,4,7,8,7,8,8,8,8,400,0,13,1,1,0,1,1,1,1,139,2285,25,3,2017,7,7,34,0,1,5,1,3,SR-323,NA,39,34.28741944,-83.70981389,0,8,0,0,1,1,0,2,4,10,0,10,0,0,99,99,99,99,99,99,0,0,0,1,0
13,130318,0,1,5,53,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,13,1,1,0,1,1,1,1,51,4910,26,3,2017,1,2,34,1,2,3,4,6,ABERCORN STREET,NA,166,31.98271111,-81.152833330000007,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130324,0,1,5,52,1,0,0,0,741,0,1,7,1,7,1,7,2,3,1,2b,740,0,13,1,1,0,1,1,1,1,121,5640,28,3,2017,3,21,24,1,2,3,1,3,SR-138,PETERS ROAD,50,33.55935833,-84.51392778,0,8,0,0,2,3,0,1,2,1,0,1,0,0,21,24,21,29,22,19,19,0,0,1,0
13,130330,0,1,5,49,1,1,1,0,741,0,1,7,2,7,2,7,1,3,1,1a,740,0,13,1,1,0,1,1,1,1,121,280,30,3,2017,5,18,35,0,2,4,4,6,MARTIN L KING JR,BAKERS FERRY ROAD,154,33.76098333,-84.50699722,0,8,0,0,3,3,0,1,1,1,0,1,0,0,99,99,99,99,88,88,0,0,0,1,0
